"DepRate"	"D1"	"D2"	"D3"	"D4"	"D5"	"D6"	"D7"	"D8"	"KerFeed"	"KerTemp"	"WaterLev"	"BrineLev"	"WaterpH"	"WCBootLev"	"ECPdP"	"ECPLev"	"ReactorIP"	"ReactordP"	"ReactorCauLev"	"ClaydP"	"ClayOP"
"400"	8.4946	0	1	0	0	0	0	0	0	1.045379898	-0.516306591	-0.479269948	-0.127895346	0.831272975	1.189227118	0.125780798	0.458803228	0.985831257	-0.210013902	-0.058628701	1.168475411	0.591545273
"412"	6.9585	0	1	0	0	0	0	0	0	0.47778243	-0.490055018	-0.352464851	-0.172853554	0.831272975	0.394097025	0.123031853	0.262276431	0.752525251	-0.321598488	0.055187477	0.650094206	0.591798431
"417"	7.2709	0	1	0	0	0	0	0	0	0.593341196	-0.837159151	0.209266225	-0.161686388	-0.027008468	0.590848194	0.125780798	0.263259065	0.829274307	-0.258865527	-0.206483362	0.868017031	0.592152853
"445"	0.3626	0	0	1	0	0	0	0	0	-2.040718907	-0.700067603	-1.528698432	-0.489870777	0.616702105	-1.636096455	-2.537946895	0.031357445	-2.127603562	-0.71401318	-1.055318034	-1.024508768	-1.51346916
"448"	13.3989	0	0	1	0	0	0	0	0	0.413205473	0.052477493	-1.851948752	-0.15173662	-0.027008468	-0.766676834	0.124406325	0.261293797	0.648107605	-0.290899379	-0.158616745	-0.514453517	0.541521117
"450"	10.1433	0	0	1	0	0	0	0	0	-0.198576228	0.414165834	-1.071329753	-0.19325979	-0.45614817	-0.669752217	0.124406325	0.260311163	0.330776214	-0.376056037	-0.083625712	-0.797173993	0.54131859
"461"	18.0618	0	0	1	0	0	0	0	0	1.290092578	1.335887734	-1.240819986	-0.218989677	-0.2415773	0.62567141	0.125780798	0.261293797	0.96339977	0.101248364	-1.411658405	0.031801538	0.439346274
"463"	18.1717	0	0	1	0	0	0	0	0	1.313884089	1.490480331	-1.540447147	-0.254485078	0.402131234	-2.0603593	0.124406325	0.259328529	0.958209013	0.019828989	-0.446880149	0.121939052	0.440257645
"470"	12.7787	0	0	1	0	0	0	0	0	0.297646707	2.441370646	-1.06442162	-0.195944647	1.045841807	-0.255355949	0.124406325	0.258345895	0.5590305	-0.269810427	-0.212333726	-0.387030204	0.540711009
"483"	12.4899	0	0	1	0	0	0	0	0	0.243266112	1.353388783	-0.111385687	-0.209928282	-0.027008468	-0.581533404	0.124406325	0.260311163	0.621319589	-0.305047664	-0.48836455	-0.403682114	0.64278459
"496"	14.221	0	0	1	0	0	0	0	0	0.569549686	0.58625948	-0.620904132	-0.146834122	0.402131234	1.184003636	0.124406325	0.255397993	0.525429616	-0.168369894	-0.186804864	-0.164763402	0.540812273
"498"	12.8574	0	0	1	0	0	0	0	0	0.311241856	1.595486624	-1.015652578	-0.129889248	0.402131234	0.396418573	0.124406325	0.260311163	0.447707293	-0.206810517	0.201978436	-0.3877542	0.541622381
"514"	12.4244	0	0	1	0	0	0	0	0	0.229670963	1.397141405	-0.590484599	-0.104100135	-0.2415773	0.354050327	0.124406325	0.260311163	0.464206486	-0.295971406	0.029126764	-0.326938528	0.541723644
"524"	11.2619	0	0	1	0	0	0	0	0	0.01214858	0.778771016	-0.628433927	-0.142181685	0.402131234	0.215918238	0.124406325	0.753593423	0.405903158	-0.344289133	-0.026185771	-0.479701705	0.541267959
"539"	13.7905	0	0	1	0	0	0	0	0	0.487978792	2.318863305	0.068330539	-0.081528903	0.187562402	0.148593354	0.124406325	0.753593423	0.540723811	-0.258331629	-0.187868566	-0.271190829	0.541267959
"541"	11.8994	0	0	1	0	0	0	0	0	0.131106133	1.076288844	-0.155132537	-0.078488697	0.402131234	0.220561333	0.124406325	0.752610789	0.410120648	-0.294636662	0.259950227	-0.329834512	0.541470485
"546"	14.0205	0	0	1	0	0	0	0	0	0.532163026	2.587212719	-0.509193549	-0.086102375	0.187562402	0.172389218	0.124406325	0.752610789	0.592677731	-0.269543478	0.008916414	-0.218339113	0.541875539
"555"	15.0566	0	0	1	0	0	0	0	0	0.725893898	2.575545353	-0.777430266	-0.068729765	0.402131234	0.169487283	0.124406325	0.753593423	0.693480386	-0.259399425	-0.668130289	-0.070281911	0.642531431
"578"	15.1404	0	0	1	0	0	0	0	0	0.742887834	2.339281195	0.150711244	-0.24058699	0.187562402	0.032515968	0.124406325	0.752610789	0.635455134	-0.189992744	0.087098555	0.2243845	0.541369222
"611"	14.1614	0	0	0	1	0	0	0	0	1.232313195	1.012118332	-0.511330949	-0.067413658	-0.027008468	0.925151066	0.124406325	0.752610789	0.470509549	-0.04343787	0.156239224	0.518326916	0.288109278
"615"	14.688	0	0	0	1	0	0	0	0	1.354669536	1.023785698	-0.137586299	-0.086701203	-0.2415773	-1.138704856	0.124406325	0.753593423	0.555971661	-0.01300571	0.111031864	0.664936126	0.288564963
"630"	12.94	0	0	0	1	0	0	0	0	0.943416281	1.160877247	-0.285674593	0.405259516	0.402131234	1.416158408	0.124406325	0.716253332	0.417767746	-0.120586064	-0.320831391	0.726113796	0.280818308
"637"	10.6433	0	0	0	1	0	0	0	0	0.399610324	0.262490078	-0.144298853	0.000997573	-0.2415773	0.239714102	0.125780798	0.754576057	0.269923852	-0.244984191	0.048805262	0.210628574	0.389727172
"641"	12.9091	0	0	0	1	0	0	0	0	0.936618706	0.895444674	-1.14150772	-0.026956535	-0.2415773	-0.505502716	0.124406325	0.751628155	0.523019621	-0.175043613	-0.284133651	0.6511802	0.38937275
"648"	6.7284	0	0	0	1	0	0	0	0	-0.521461015	1.268800381	0.466767048	0.130824928	-0.2415773	0.283243121	0.125780798	0.753593423	-0.205771985	-0.388068732	-0.536231167	-0.459429814	0.232414368
"661"	10.9656	0	0	0	1	0	0	0	0	0.47778243	-0.020443543	-0.001400391	0.089525496	1.474981509	0.163103027	0.124406325	0.748680253	0.32132162	-0.090687802	0.229634703	0.340585874	0.337525852
"674"	8.7098	0	0	0	1	0	0	0	0	-0.055827165	1.837584465	0.465838047	0.282295658	-0.2415773	0.078366535	0.113410545	0.764402397	0.255139463	0.050261149	0.139219983	-0.147387496	0.490484327
"693"	9.5408	0	0	0	1	0	0	0	0	0.141302495	0.236238505	0.303214037	0.115275126	-1.743569316	0.442849527	-0.533965999	0.753593423	0.342640802	-0.014607402	-0.31657658	0.238140426	0.490484327
"719"	8.7052	0	0	0	1	0	0	0	0	-0.055827165	-0.463803445	-0.113578967	0.087505272	-0.2415773	0.089393887	0.124406325	0.752610789	0.176212143	-0.143810607	-0.496342319	0.022751587	0.440156381
"736"	8.8081	0	0	0	1	0	0	0	0	-0.032035654	-0.560059213	-0.085534323	0.104739691	0.616702105	0.319807498	0.124406325	0.753593423	0.269692122	0.110591571	-0.170849325	0.206284598	0.440257645
"760"	8.9113	0	0	0	1	0	0	0	0	-0.008244143	1.895921294	-1.044926576	0.045363533	-1.958138148	0.033096355	0.124406325	0.741801815	0.265520978	-0.063459027	-0.226693711	0.207370592	0.440308277
