"obs"	"leverage"	"rstudent"	"color"	"fct_color"	"txt"
"119"	119	0.0107965650416245	0.252155926030319	"normal"	"normal"	NA
"120"	120	0.0104004919587617	0.373713195893597	"normal"	"normal"	NA
"121"	121	0.00778469356129228	0.15844752219213	"normal"	"normal"	NA
"122"	122	0.00807539719704835	0.343116185421006	"normal"	"normal"	NA
"123"	123	0.00559940566222526	0.302559621131589	"normal"	"normal"	NA
"124"	124	0.00731433541773313	0.0668344537875749	"normal"	"normal"	NA
"125"	125	0.00610961058985514	0.225957659291124	"normal"	"normal"	NA
"126"	126	0.00928811792209843	-0.522475851553091	"normal"	"normal"	NA
"127"	127	0.00942070922531859	-0.425159547881512	"normal"	"normal"	NA
"128"	128	0.00815181147582469	-0.243362330977426	"normal"	"normal"	NA
"129"	129	0.00679242396630631	-0.120649964710985	"normal"	"normal"	NA
"130"	130	0.0077336596851683	-0.364944920926188	"normal"	"normal"	NA
"131"	131	0.00703490454648239	-0.201663024149397	"normal"	"normal"	NA
"132"	132	0.0075827550188671	-0.262446686152743	"normal"	"normal"	NA
"133"	133	0.00674925963589422	0.0319203546315107	"normal"	"normal"	NA
"134"	134	0.00738988449838201	-0.297788436958753	"normal"	"normal"	NA
"135"	135	0.00647700606365769	-0.275439502302061	"normal"	"normal"	NA
"136"	136	0.00672002000789769	-0.160246330724749	"normal"	"normal"	NA
"137"	137	0.00644258489222698	-0.0630901821648632	"normal"	"normal"	NA
"138"	138	0.00739547403650553	0.0105135680535276	"normal"	"normal"	NA
"139"	139	0.0104110597737253	0.125157295348073	"normal"	"normal"	NA
"140"	140	0.0070032880727717	-0.298387350696442	"normal"	"normal"	NA
"141"	141	0.00958812103213719	0.0795086364128873	"normal"	"normal"	NA
"142"	142	0.00901804586731629	0.0418370246699144	"normal"	"normal"	NA
"143"	143	0.0133547030736794	-0.612722425783424	"normal"	"normal"	NA
"144"	144	0.021078321040552	0.617814197791854	"normal"	"normal"	NA
"145"	145	0.0442666110672102	0.756638306401156	"leverage"	"leverage"	145
"146"	146	0.0435108117025089	0.757217514590596	"leverage"	"leverage"	146
"147"	147	0.0547350052687771	0.969963629609482	"leverage"	"leverage"	147
"148"	148	0.056942949633081	1.10957730607887	"leverage"	"leverage"	148
"149"	149	0.0128223603063677	0.407162720949886	"normal"	"normal"	NA
"150"	150	0.0120392524638669	-0.405909386026712	"normal"	"normal"	NA
"151"	151	0.0127378948267649	-0.433934601266469	"normal"	"normal"	NA
"152"	152	0.0107279584838149	-0.188633429970198	"normal"	"normal"	NA
