deprate,kerfeed,kertemp,waterph,waterlev,brinelev
8.1626,5.7201,34.7445,11.6,39.1081,57.8476
8.2269,5.7652,34.6675,11.6,39.3715,45.474
8.349,5.8507,34.6804,11.6,39.5653,47.2406
8.2632,5.7906,34.4124,11.6,39.7662,66.4644
8.4095,5.8931,34.8006,11.4,39.7499,76.3536
8.6184,6.0395,35.4172,11.4,39.2858,70.7776
8.4137,5.8961,36.8913,11.4,39.5422,34.6077
7.6102,5.333,35.7825,11.4,39.5084,21.7093
7.6816,5.383,36.3775,11.4,39.2594,22.1892
7.9669,5.583,37.58,11.9,39.1355,18.4325
8.43,5.9075,38.4541,11.6,39.6771,17.5931
12.264,8.5942,37.626,11.5,36.1632,44.9608
13.3822,9.3778,37.9805,11.6,39.7383,58.5438
13.2673,9.2973,37.9249,11.4,39.7032,59.0785
12.3913,8.6834,37.0992,11.5,39.8757,59.0308
12.4398,8.7174,36.1642,11.5,39.8697,58.1514
13.1342,9.204,38.0615,11.5,39.7255,59.5483
13.1732,9.2314,36.7085,11.5,39.5111,57.8759
13.5285,9.4804,37.3494,11.4,39.8866,55.8662
3.0833,2.1607,36.1164,11.4,41.5072,60.2025
0,0,35.3233,11.4,40.9546,61.6857
0,0,34.9165,11.4,40.4367,60.9367
0,0,33.709,11.4,40.8999,61.5613
0,0,33.7168,11.4,41.2244,68.4935
0,0,32.3313,11.4,41.0134,54.1711
0,0,32.2391,11.4,41.4789,70.231
0,0,29.5283,11.4,41.8603,50.6615
0,0,30.3987,11.4,42.5416,63.3002
0,0,29.7233,11.4,42.6112,70.9827
0,0,28.3718,11.4,42.989,48.1876
0,0,29.6897,11.4,45.5578,53.4342
0,0,30.6486,11.4,44.6019,57.454
0,0,31.7781,11.4,41.7012,65.0424
0.0291,0.0204,31.7421,11.4,40.0779,71.2712
7.8828,5.524,35.346,11.5,34.9184,51.945
11.2696,7.8974,35.2818,11.4,39.9941,56.733
11.6167,8.1406,35.7356,11.3,40.1236,57.1004
11.3693,7.9672,35.6827,11.3,40.2578,57.1298
9.6361,6.7527,36.4628,11.2,40.2383,57.7485
8.9068,6.2416,36.8144,11.4,40.6015,57.1463
6.0503,4.2398,34.1389,11.4,44.1884,58.0203
8.4535,5.924,34.413,11.4,40.8808,57.1372
8.6324,6.0493,33.9257,11.4,40.463,57.0404
11.1019,7.7799,30.5325,11.4,40.0718,57.293
12.4644,8.7347,29.1757,11.4,40,57.2276
12.3718,8.6698,32.1284,11.4,40.0282,56.7276
11.981,8.3959,30.5802,11.4,39.89,46.8779
11.9925,8.4039,29.6791,11.4,40.0296,51.8709
11.8999,8.339,29.4352,11.4,40.0199,53.1455
11.7589,8.2403,31.4295,11.1,40.3369,53.0316
10.1312,7.0996,31.2383,10.6,40.0811,52.4928
8.9518,6.2731,32.4555,10.6,40.056,53.5029
10.4243,7.305,33.0301,10.6,39.9997,54.3128
10.8758,7.6214,33.3085,11.5,40.0003,53.729
11.0582,7.7492,31.436,11.5,40.0167,53.8668
12.4564,8.7291,32.5034,11.6,40.001,51.856
13.8759,9.7238,34.2367,11.6,39.9263,49.4126
13.381,9.3769,34.7965,11.6,40.0086,47.7804
13.7298,9.6214,36.7078,11.5,39.9996,47.752
14.5379,10.1877,41.2617,11.4,40.0048,46.1231
13.9476,9.774,39.3247,11.3,40.0277,49.7393
13.818,9.6832,39.3029,11.7,40.0438,53.579
13.2632,9.2944,38.3935,11.7,39.9968,52.9194
12.4644,8.7346,37.7449,11.7,40.0041,52.7266
12.3654,8.6653,36.7878,11.7,40.0238,52.813
12.3978,8.6879,36.8364,11.7,40.0787,53.048
12.4455,8.7214,37.6912,11.5,40.0058,52.5971
12.7545,8.938,38.6534,11.5,40.018,51.6218
12.0235,8.4257,34.6455,11.5,40.0886,52.9799
11.736,8.2242,34.7505,11.2,40.0455,49.8576
11.6777,8.1833,34.5308,11.2,40.0472,49.5537
11.4341,8.0126,33.5291,11.4,40.0846,48.1742
11.5377,8.0852,34.0676,10.9,40.0391,48.3738
11.0079,7.7139,34.013,10.9,40.1133,47.8782
11.0386,7.7355,33.5758,10.9,40.1953,51.9695
10.4899,7.351,34.0156,11.7,40.0364,48.8877
11.0851,7.7681,34.7446,11.7,40.033,49.3227
11.8934,8.3345,33.1439,11.3,39.9751,49.1084
12.0434,8.4396,32.0461,11.4,39.9412,42.2146
10.9882,7.7002,32.3819,11.4,39.8349,48.6172
9.8175,6.8798,32.2978,11.4,39.9486,60.9146
10.6989,7.4974,32.033,11.5,39.9493,56.3819
12.8144,8.9799,34.3228,12,39.982,51.7915
12.866,9.0161,34.2004,11.6,39.3604,47.5113
12.4682,8.7373,35.3006,11.7,39.5004,41.7161
12.1951,8.5459,35.1786,11.7,39.6828,39.4129
12.5716,8.8097,35.579,11.7,39.5845,50.2081
12.2699,8.5984,34.7321,12.1,39.3074,47.7872
10.7297,7.519,33.1648,12.1,38.2659,42.757
10.3891,7.2803,31.9773,12.1,39.3411,48.1836
11.036,7.7337,31.2443,12.1,37.9097,43.2748
10.3996,7.2877,31.2163,12.1,39.1586,48.1026
9.7607,6.84,30.4507,11.9,39.7247,36.517
10.2998,7.2178,31.2619,11.9,39.641,40.3906
10.245,7.1793,31.7388,11.5,39.5648,40.1348
10.2568,7.1876,31.6765,12,39.2672,46.4694
10.3028,7.2198,32.3078,11.9,39.3908,33.9346
10.3593,7.2595,32.2581,11.5,39.1871,49.2686
10.3393,7.2454,32.0106,11.4,39.1487,42.2065
10.8944,7.6345,32.17,11.4,39.2195,40.7392
10.9826,7.6963,32.3352,11.5,38.9278,32.6792
11.4545,8.0269,32.9536,11.7,39.4943,41.3313
11.5296,8.0796,32.7375,11.7,39.6251,36.5679
10.8221,7.5838,32.8593,11.8,38.8917,58.6613
11.4808,8.0453,33.0153,11.3,38.0432,63.1081
9.3123,6.5258,31.8991,11.3,39.086,60.0536
9.7546,6.8357,33.0649,11.3,39.3137,83.1247
11.3198,7.9326,33.8556,11.7,38.6605,51.148
11.7267,8.2177,33.8728,11.7,37.9423,22.0636
11.3872,7.9798,32.7711,11.7,37.0899,23.8432
10.4472,7.3211,32.5362,11.7,37.6928,21.4914
10.7528,7.5352,30.6077,11.7,38.6742,40.9523
11.0226,7.7243,33.0507,11.6,36.9261,59.3981
11.1814,7.8355,33.1761,11.3,37.5596,57.6572
11.5291,8.0792,33.2413,11.2,38.7285,56.6356
11.6736,8.1805,32.9735,11.3,38.383,59.9447
11.2657,7.8946,32.605,11.2,37.5201,55.9693
10.8695,7.617,33.2669,11.2,36.2587,56.3842
10.6111,7.4359,33.2911,11.2,36.0664,57.6234
10.4103,7.2952,32.6878,11.2,36.8867,56.934
10.2389,7.1751,32.4851,11.2,37.6135,57.0512
10.376,7.2712,32.522,11.2,38.6827,57.675
12.7358,8.9248,32.6944,11.2,37.5704,55.7367
13.9616,9.7838,32.6137,11.2,35.6309,57.0766
14.2323,9.9735,32.4012,11.2,35.3058,52.6313
14.6357,10.2562,34.1501,11.2,35.2974,55.8417
14.1552,9.9195,34.6809,11.4,37.256,54.6709
14.0547,9.849,33.55,12.2,35.9769,56.4026
12.3122,8.628,32.3142,11.6,34.7371,57.6262
9.5838,6.716,33.4311,11.7,32.8338,53.202
8.4059,5.8906,34.1574,11.2,26.4679,54.6908
2.0791,2.2725,29.9201,11.2,25.6179,49.5588
0,0,24.99,11.2,30.1935,0
0.1709,0.19,30.04,11.3,30.2676,2.3187
4.274,4.67,30.7,11.3,27.3577,19.387
6.742,7.37,32.04,11.2,28.6185,20.251
7.2324,7.91,32.74,11.7,23.4733,40.4346
7.4308,8.12,33.38,11.7,30.6144,61.478
7.3516,8.04,32.48,11.9,36.5143,62.7075
7.1498,7.81,32.4,11.9,36.9568,61.5205
5.339,5.84,32.88,11.9,38.2485,62.6671
6.503,7.11,32.88,12,40.9566,62.8358
6.4789,7.08,32.71,12,43.1919,53.3867
6.3391,6.93,31.87,12,45.0962,36.8723
6.1934,6.77,31.73,11.6,45.0072,36.7922
6.0151,6.57,32.1,11.8,45.4512,36.9126
6.4276,7.03,31.45,11.7,46.4327,37.3113
4.4558,4.87,31.5,11.9,45.8879,37.7231
4.3229,4.72,30.09,12.2,46.5828,40.0045
4.3021,4.7,30.01,12.1,45.5268,39.1339
4.0144,4.39,32.29,11.2,44.2071,39.8579
4.1708,4.56,32.55,12.1,46.3298,38.4569
4.0608,4.44,32.44,12,47.2651,38.1335
4.3766,4.78,31.96,11.6,45.1684,38.6485
4.633,5.06,32.15,12.1,45.7076,39.2566
4.6678,5.1,33.07,12.1,45.7075,38.2584
4.5798,5.01,33.77,12.1,46.3341,38.738
4.9401,5.4,33.41,12.1,45.5372,38.694
5.6069,6.13,33.46,12,44.722,38.4123
4.916,5.37,34.11,11.7,45.4112,38.5683
5.0979,5.57,33.81,11.8,45.9152,38.4615
5.107,5.58,32.97,11.8,47.1454,37.9839
5.0938,5.57,33.45,11.8,47.2496,40.0734
5.0761,5.55,32.78,12,47.3138,38.9799
5.1028,5.58,33.34,11.8,47.4748,37.5787
5.0693,5.54,33.91,11.8,46.8523,38.0362
5.0078,5.47,34.28,11.8,45.4046,38.3678
4.6869,5.12,33.92,11.7,46.3824,37.1472
5.095,5.57,33.65,11.7,44.8827,38.3154
5.6918,6.22,34.36,12.3,43.0071,38.8499
7.3048,7.98,32.71,12.3,41.8185,38.2048
7.5404,8.24,33.74,11.1,37.8656,37.492
7.4515,8.14,33.75,11.1,35.6387,37.0042
7.4007,8.09,33.43,12.1,33.676,37.0874
7.0125,7.66,32.69,12.1,32.8728,45.873
