"DepRate"	"D1"	"D2"	"D3"	"D4"	"D5"	"D6"	"D7"	"D8"	"KerFeed"	"KerTemp"	"WaterLev"	"BrineLev"	"WaterpH"	"WCBootLev"	"ECPdP"	"ECPLev"	"ReactorIP"	"ReactordP"	"ReactorCauLev"	"ClaydP"	"ClayOP"
"KerTemp"	0	0	0	0	7.23865412055602e-13	0.426117392805697	6.02770189317425e-09	0.549041404267772	1.2623235789988e-12	2.19868567796766e-11	NA	0.83909847860126	0	0.0568334413816756	0.471987323237612	0.0114452677869943	0.00203097912701633	1.37940186237806e-05	0.229418887929125	0.00159150745233871	0.00345798530297392	0.16458819622329
"WaterLev"	1.05493391799882e-12	0	0	0	2.22044604925031e-16	1.81499260065721e-12	0	0	0	0.269803551652734	0.83909847860126	NA	0	0.0128326148200286	2.75092069124128e-08	0	1.14026511344179e-07	0.00460155219600944	6.4135363686546e-11	0.144730044054892	0	0
"BrineLev"	0.836232347780213	0	4.10769085923413e-06	2.36845939749486e-07	0.757415941376378	0.000180843319400603	0	1.08371089879711e-11	0.00444419284109676	0.757082737802687	0	0	NA	0.00234223971672032	0.000180367491416034	0	6.78036221000156e-05	0.00456140396500393	0	0	3.19209820744959e-05	0
"WaterpH"	0.424311908855969	0.643273284393694	7.90143319662207e-08	0.00331725739500399	0.397202015556147	0.00110897762461359	0.000244565366429139	0.520903423242029	0.777875213372663	9.73325149811188e-07	0.0568334413816756	0.0128326148200286	0.00234223971672032	NA	4.33909290942225e-07	0.663437411130517	1.57384398984384e-05	7.71138708444141e-11	0.0626341431802291	0.0315200558142286	0	5.18096922696998e-07
"WCBootLev"	1.68981560126902e-05	6.77691229800104e-08	0.389072758796556	0.0175749706603534	0.0014277448509441	0.0227552946757237	0.00077967709624005	0.00384433822090702	0.0480796062264153	2.59362625243398e-06	0.471987323237612	2.75092069124128e-08	0.000180367491416034	4.33909290942225e-07	NA	0.0171409393462751	0.161480426431667	0.0195188726935243	0.538548946146083	0.107586804808663	3.54112183336142e-05	0.0760699228906181
"ECPdP"	1.68309810533174e-13	0	2.72349092287349e-05	0.00018999402877018	0	0.00326735572116865	1.47077905410242e-11	0	0.105449745936727	4.44089209850063e-15	0.0114452677869943	0	0	0.663437411130517	0.0171409393462751	NA	5.74873482150906e-13	1.84774243239261e-07	3.37507799486048e-14	0.382008175463899	2.20067519762779e-10	0.22722591792466
"ECPLev"	0.0234976347539591	0.602465873926205	0.0147926956034388	1.12263354168363e-08	0	0.155381632953283	1.08102888507489e-05	0	0.00213377922047764	0.000163227069112981	0.00203097912701633	1.14026511344179e-07	6.78036221000156e-05	1.57384398984384e-05	0.161480426431667	5.74873482150906e-13	NA	0	0.00238273519139698	0.0115477885779991	0.590187831905384	0
"ReactorIP"	0	0.0854134190393883	0	3.93907129137006e-13	0.237908379887705	0	0.660553514554224	0.238276764913525	1.38480993396861e-05	0	1.37940186237806e-05	0.00460155219600944	0.00456140396500393	7.71138708444141e-11	0.0195188726935243	1.84774243239261e-07	0	NA	0	0.2709759919017	0	0
"ReactordP"	0.00821113640303883	1.71862524211974e-13	0.0877642068404203	0.206061806264363	1.61604063464438e-12	0.513968420818056	2.16049400592055e-13	0.346741260071048	1.07494343961623e-05	1.95556904003524e-11	0.229418887929125	6.4135363686546e-11	0	0.0626341431802291	0.538548946146083	3.37507799486048e-14	0.00238273519139698	0	NA	0.410311300688234	0.0572649963443177	5.77315972805081e-15
"ReactorCauLev"	0.00180740511577215	0	0	1.80599712962248e-08	0	0.372317897803331	0.0258638532546653	0.00472279466340275	0.889747674276101	0.001486552850265	0.00159150745233871	0.144730044054892	0	0.0315200558142286	0.107586804808663	0.382008175463899	0.0115477885779991	0.2709759919017	0.410311300688234	NA	0.000600137753090202	9.12082055097851e-05
"ClaydP"	0	0.000644906376245924	0.53249982069334	5.37347943918576e-14	0.0374835163463771	0	0	4.44089209850063e-16	0	0	0.00345798530297392	0	3.19209820744959e-05	0	3.54112183336142e-05	2.20067519762779e-10	0.590187831905384	0	0.0572649963443177	0.000600137753090202	NA	0.712657670924261
"ClayOP"	0.764712498831653	0	6.66933175352824e-11	4.7826707039178e-08	0.0155934174752517	3.63086597232609e-07	0.00860497596776133	1.11022302462516e-15	0	0	0.16458819622329	0	0	5.18096922696998e-07	0.0760699228906181	0.22722591792466	0	0	5.77315972805081e-15	9.12082055097851e-05	0.712657670924261	NA
