DepRate,D1,D2,D3,D4,D5,D6,D7,D8,KerFeed,ReactordP,ClayOP
6.1791,1,0,0,0,0,0,0,0,-0.636985793,-0.077340363,0.227199299
7.1078,1,0,0,0,0,0,0,0,-0.41579272,-0.295971406,0.64308838
10.7505,1,0,0,0,0,0,0,0,0.451815696,-0.13660299,0.643341539
10.632,1,0,0,0,0,0,0,0,0.423571774,0.01101968,0.642835221
10.141,1,0,0,0,0,0,0,0,0.306653493,0.604446795,0.742934164
10.1127,1,0,0,0,0,0,0,0,0.299889907,1.110047766,0.794629166
10.79,1,0,0,0,0,0,0,0,0.461230337,0.133816114,0.794224113
12.3874,1,0,0,0,0,0,0,0,0.841690579,0.119133931,0.794173481
12.6209,1,0,0,0,0,0,0,0,0.897294738,0.592434101,0.794021586
11.9982,1,0,0,0,0,0,0,0,0.748971663,1.403958362,0.794072217
11.3715,1,0,0,0,0,0,0,0,0.599730916,0.919980242,0.794325376
11.4221,1,0,0,0,0,0,0,0,0.611762623,0.337231077,0.794072217
11.4839,1,0,0,0,0,0,0,0,0.626479372,0.044121327,0.794831693
13.6707,1,0,0,0,0,0,0,0,1.147343515,-0.063192079,0.794882325
13.9319,1,0,0,0,0,0,0,0,1.209541321,-0.105369984,0.794274744
13.7932,1,0,0,0,0,0,0,0,1.176505109,-0.125658091,0.794629166
13.6176,1,0,0,0,0,0,0,0,1.134666038,-0.137937734,0.794325376
13.3713,1,0,0,0,0,0,0,0,1.076036959,-0.176912255,0.794224113
13.7495,1,0,0,0,0,0,0,0,1.16610482,-0.174509716,0.794274744
13.7862,1,0,0,0,0,0,0,0,1.174839703,-0.168903791,0.794173481
11.0008,1,0,0,0,0,0,0,0,0.511430424,0.862319307,0.791743157
8.3441,1,0,0,0,0,0,0,0,-0.121321795,-0.03035738,0.794527903
8.2301,1,0,0,0,0,0,0,0,-0.148478105,-0.217755416,0.794629166
8.3091,1,0,0,0,0,0,0,0,-0.129682811,-0.282623968,0.794578535
8.1042,1,0,0,0,0,0,0,0,-0.178455408,-0.334678978,0.794831693
6.9929,1,0,0,0,0,0,0,0,-0.443152957,-0.401683119,0.794325376
7.074,1,0,0,0,0,0,0,0,-0.423813858,-0.408890736,0.794477271
7.1524,1,0,0,0,0,0,0,0,-0.405154516,-0.419835635,0.79442664
7.3349,1,0,0,0,0,0,0,0,-0.361718015,-0.413962762,0.794578535
7.3917,1,0,0,0,0,0,0,0,-0.348190842,-0.423839867,0.794679798
7.3148,1,0,0,0,0,0,0,0,-0.366476317,-0.427310201,0.794477271
7.465,1,0,0,0,0,0,0,0,-0.330721076,-0.42757715,0.79442664
8.6339,1,0,0,0,0,0,0,0,-0.052292426,-0.392072963,0.795388642
10.9418,1,0,0,0,0,0,0,0,0.497393433,-0.305848511,0.794629166
11.0848,1,0,0,0,0,0,0,0,0.531415293,-0.309051896,0.79503422
10.924,1,0,0,0,0,0,0,0,0.493144949,-0.32106459,0.794578535
11.0442,1,0,0,0,0,0,0,0,0.521762737,-0.307450203,0.794679798
10.8107,1,0,0,0,0,0,0,0,0.466158578,-0.315725615,0.794072217
10.0353,1,0,0,0,0,0,0,0,0.28146848,-0.321865437,0.794831693
9.8446,1,0,0,0,0,0,0,0,0.236060683,-0.320263744,0.794325376
10.1744,1,0,0,0,0,0,0,0,0.314606656,-0.307717152,0.79503422
10.8006,1,0,0,0,0,0,0,0,0.463745439,-0.28209007,0.793970954
11.3273,1,0,0,0,0,0,0,0,0.589194676,-0.276217197,0.794477271
9.4981,1,0,0,0,0,0,0,0,0.153538129,-0.362708599,0.793970954
8.3124,1,0,0,0,0,0,0,0,-0.128867102,-0.415564455,0.79442664
8.1521,1,0,0,0,0,0,0,0,-0.167069471,-0.419568687,0.794122849
7.6813,1,0,0,0,0,0,0,0,-0.279195461,-0.447865256,0.794578535
7.6362,1,0,0,0,0,0,0,0,-0.289935629,-0.451068641,0.794578535
7.9969,1,0,0,0,0,0,0,0,-0.204048276,-0.414763609,0.794477271
8.3265,1,0,0,0,0,0,0,0,-0.125502303,-0.404886504,0.794224113
7.4766,1,0,0,0,0,0,0,0,-0.32793407,-0.43611951,0.657315898
7.3605,1,0,0,0,0,0,0,0,-0.355600198,-0.460411848,0.288159909
7.4952,1,0,0,0,0,0,0,0,-0.323515647,-0.456140668,0.288210541
7.8253,1,0,0,0,0,0,0,0,-0.244901698,-0.448933051,0.288008014
8.0695,1,0,0,0,0,0,0,0,-0.186714461,-0.440924588,0.288210541
7.7597,1,0,0,0,0,0,0,0,-0.26053612,-0.44492882,0.469522788
7.877,1,0,0,0,0,0,0,0,-0.232564101,-0.416098353,0.541267959
7.8609,1,0,0,0,0,0,0,0,-0.23640473,-0.419301738,0.287704224
