DepRate,D1,D2,D3,D4,D5,D6,D7,D8,Theta
9.8446,1,0,0,0,0,0,0,0,0.135997607
10.1744,1,0,0,0,0,0,0,0,0.162642695
10.8006,1,0,0,0,0,0,0,0,0.212989665
11.3273,1,0,0,0,0,0,0,0,0.25536671
9.4981,1,0,0,0,0,0,0,0,0.107889735
8.3124,1,0,0,0,0,0,0,0,0.011161887
8.1521,1,0,0,0,0,0,0,0,-0.001980276
7.6813,1,0,0,0,0,0,0,0,-0.040749588
7.6362,1,0,0,0,0,0,0,0,-0.044483796
7.9969,1,0,0,0,0,0,0,0,-0.014552167
8.3265,1,0,0,0,0,0,0,0,0.012408806
7.4766,1,0,0,0,0,0,0,0,-0.069574848
7.3605,1,0,0,0,0,0,0,0,-0.113463254
7.4952,1,0,0,0,0,0,0,0,-0.100860906
7.8253,1,0,0,0,0,0,0,0,-0.070031514
8.0695,1,0,0,0,0,0,0,0,-0.047221249
7.7597,1,0,0,0,0,0,0,0,-0.061177086
7.877,1,0,0,0,0,0,0,0,-0.044828474
7.8609,1,0,0,0,0,0,0,0,-0.066847979
7.9492,1,0,0,0,0,0,0,0,-0.058569843
7.9562,1,0,0,0,0,0,0,0,-0.05790178
8.9195,1,0,0,0,0,0,0,0,0.037212705
7.6766,1,0,0,0,0,0,0,0,-0.049561425
11.6362,1,0,0,0,0,0,0,0,0.280934314
11.8785,1,0,0,0,0,0,0,0,0.300537374
11.6876,1,0,0,0,0,0,0,0,0.284767043
11.4159,1,0,0,0,0,0,0,0,0.261959081
13.295,1,0,0,0,0,0,0,0,0.414915443
13.3951,1,0,0,0,0,0,0,0,0.424066601
12.1197,1,0,0,0,0,0,0,0,0.319331066
10.1367,1,0,0,0,0,0,0,0,0.156310003
10.7365,1,0,0,0,0,0,0,0,0.206347256
10.6534,1,0,0,0,0,0,0,0,0.199514695
10.8349,1,0,0,0,0,0,0,0,0.214569268
10.8392,1,0,0,0,0,0,0,0,0.214793395
10.9094,1,0,0,0,0,0,0,0,0.220512516
10.9646,1,0,0,0,0,0,0,0,0.224893601
10.4135,1,0,0,0,0,0,0,0,0.178883714
9.3687,1,0,0,0,0,0,0,0,0.092239873
9.3166,1,0,0,0,0,0,0,0,0.088058168
8.58,1,0,0,0,0,0,0,0,0.028340998
9.0851,1,0,0,0,0,0,0,0,0.069311626
10.3891,1,0,0,0,0,0,0,0,0.174989732
11.185,1,0,0,0,0,0,0,0,0.239206195
12.0954,1,0,0,0,0,0,0,0,0.312765926
12.2799,1,0,0,0,0,0,0,0,0.327589298
12.1038,1,0,0,0,0,0,0,0,0.313724302
12.0741,1,0,0,0,0,0,0,0,0.311623946
10.3645,1,0,0,0,0,0,0,0,0.173450359
8.7024,1,0,0,0,0,0,0,0,0.03809856
9.2754,1,0,0,0,0,0,0,0,0.084741002
7.1684,1,0,0,0,0,0,0,0,-0.08824925
7.2188,1,0,0,0,0,0,0,0,-0.081839887
7.6742,1,0,0,0,0,0,0,0,-0.044782547
8.3744,1,0,0,0,0,0,0,0,0.011915941
8.436,1,0,0,0,0,0,0,0,0.016801983
8.4405,1,0,0,0,0,0,0,0,0.017105771
8.5462,1,0,0,0,0,0,0,0,0.025663322
8.3104,1,0,0,0,0,0,0,0,-0.000732843
8.0062,1,0,0,0,0,0,0,0,-0.024419375
8.0066,1,0,0,0,0,0,0,0,-0.022585284
8.1398,1,0,0,0,0,0,0,0,-0.011885647
8.5191,1,0,0,0,0,0,0,0,0.019566477
8.3176,1,0,0,0,0,0,0,0,0.00322773
8.1192,1,0,0,0,0,0,0,0,-0.012967713
8.1626,1,0,0,0,0,0,0,0,-0.009756798
