DepRate,D1,D2,D3,D4,D5,D6,D7,D8,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH,WCBootLev,ECPdP,ECPLev,ReactorIP,ReactordP,ReactorCauLev,ClaydP,ClayOP,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH,WCBootLev,ECPdP,ECPLev,ReactorIP,ReactordP,ReactorCauLev,ClaydP,ClayOP
12.6736,1,0,0,0,0,0,0,0,8.8813,34.8133,22.7114,47.4777,12,73.03,14.26,80.73,792.22,49.6,66.31,60.45,744.59,1.03059089,-0.070504991,-1.74578868,0.885544018,0.454535233,2.419087872,-2.019552178,0.20095803,0.471188189,2.424454609,0.882434252,0.31016911,1.256615449
13.4239,1,0,0,0,0,0,0,0,9.407,34.6571,17.225,49.7087,12.10000038,57.71,14.12,80.54,832.44,81.92,61.81,64.38,746.69,1.364270431,-0.119502604,-2.210261967,1.154750764,0.596472423,1.040624255,-2.063511729,0.172812341,0.949538164,5.077111004,0.538616762,0.483394886,1.290622253
13.2645,1,0,0,0,0,0,0,0,9.2953,33.944,45.7389,58.6212,12.10000038,46.12,14,79.99,811.04,61.45,69.99,60.66,750.02,1.293370669,-0.34319145,0.203697067,2.230190087,0.596472423,-0.002221262,-2.101191343,0.091337978,0.695020773,3.39704057,1.163600555,0.31942545,1.344547329
12.1517,1,0,0,0,0,0,0,0,8.5155,31.56,35.2893,58.0097,12.10000038,45.89,13.99,79.98,769.08,27.37,76.49,56.22,750.02,0.798405278,-1.09101673,-0.680955903,2.156402581,0.596472423,-0.022916212,-2.104331311,0.089856626,0.195976394,0.599932589,1.660225817,0.123719993,1.344547329
11.0688,1,0,0,0,0,0,0,0,7.7567,31.5932,28.4472,58.7221,12.10000038,46.87,14,80.02,756.17,22.24,79.52,51.43,749.92,0.316769295,-1.080602385,-1.260201433,2.242365327,0.596472423,0.06526227,-2.101191343,0.095782034,0.042433426,0.178889046,1.891729594,-0.087412696,1.342927957
11.035,1,0,0,0,0,0,0,0,7.733,31.6443,24.226,58.3141,12.10000038,47.7,14,79.99,760.1,24.76,72.95,52.81,749.96,0.301726105,-1.064573076,-1.617564118,2.193133435,0.596472423,0.139944045,-2.101191343,0.091337978,0.089174236,0.385717453,1.389756059,-0.026585324,1.343575706
10.8403,1,0,0,0,0,0,0,0,7.5965,32.085,26.9604,58.4711,12.10000038,44.68,14,80.01,762.76,28.36,72.91,52.21,749.95,0.215084946,-0.926332052,-1.386072474,2.21207806,0.596472423,-0.131789644,-2.101191343,0.094300682,0.12081051,0.681186606,1.386699903,-0.053032007,1.343413769
10.859,1,0,0,0,0,0,0,0,7.6097,32.6115,42.7692,58.6347,12.10000038,49.13,14,79.99,754.23,22.47,78.98,49.45,749.92,0.223463431,-0.761176847,-0.047714846,2.231819084,0.596472423,0.268612647,-2.101191343,0.091337978,0.019360354,0.197766242,1.850471495,-0.174686751,1.342927957
10.3748,1,0,0,0,0,0,0,0,7.2704,32.9375,36.772,58.9055,12.10000038,47.77,15.84,80.02,745.85,18.64,82.04,46.13,749.86,0.008098264,-0.658915504,-0.555431964,2.264495546,0.596472423,0.146242508,-1.523437255,0.095782034,-0.080305802,-0.116580107,2.084267388,-0.321025065,1.341956334
0.9022,1,0,0,0,0,0,0,0,0.6322,30.0078,35.5959,58.3191,12.10000038,62.48,2.16,78.81,296.03,7.06,27.97,4.77,440.33,-4.205391428,-1.577918744,-0.654999445,2.193736767,0.596472423,1.46981952,-5.818913299,-0.083461566,-5.43016621,-1.067005882,-2.04689076,-2.144083103,-3.670484706
6.1791,1,0,0,0,0,0,0,0,4.3301,29.5182,44.7233,61.3977,12.10000038,52.01,12.43,79.46,693.93,24.86,52.39,13.71,637.96,-1.858209431,-1.731498969,0.117717359,2.565220357,0.596472423,0.52774941,-2.594166298,0.012826318,-0.697807808,0.39392493,-0.181107849,-1.750027521,-0.470120532
