DepRate,D1,D2,D3,D4,D5,D6,D7,D8,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH,WCBootLev,ECPdP,ECPLev,ReactorIP,ReactordP,ReactorCauLev,ClaydP,ClayOP
13.3713,1,0,0,0,0,0,0,0,1.340912228,-1.489271334,-1.671813622,2.210666263,0.880345455,-2.721357719,-2.101191343,0.09281933,0.305157218,0.087786058,0.795333821,0.38510138,1.343413769
13.7495,1,0,0,0,0,0,0,0,1.509116677,-1.422864198,-1.683792875,2.241231063,0.880345455,-2.741152889,-2.101191343,0.09281933,0.336198825,0.095172786,0.858749047,0.42124518,1.343575706
13.7862,1,0,0,0,0,0,0,0,1.525429334,-1.488487122,-1.320410933,2.245092388,0.880345455,-2.687166063,-1.696135488,0.091337978,0.369143366,0.112408487,0.945849478,0.504111455,1.343251832
13.0859,1,0,0,0,0,0,0,0,1.213965475,-1.742038789,-1.772761046,2.244597656,0.880345455,-2.745651791,-1.159200982,0.095782034,1.086668328,5.604030993,0.530976374,0.327800233,1.28398283
11.0008,1,0,0,0,0,0,0,0,0.286492495,-1.532497141,-1.848200706,2.209676798,0.880345455,-2.801438178,-0.757285095,0.091337978,0.496283128,3.282956647,0.592099483,-0.127523499,1.335478848
8.3441,1,0,0,0,0,0,0,0,-0.89519136,-1.471736337,-1.83862577,2.252139306,0.880345455,-2.860823686,-0.217210622,0.09281933,-0.112298876,0.538376516,0.468325187,-0.70538353,1.344385392
8.2301,1,0,0,0,0,0,0,0,-0.945906588,-1.447519847,-1.382127363,2.392160601,0.028725011,-2.882418416,-0.217210622,0.09281933,-0.208872764,-0.037788332,0.453044409,-0.733593325,1.344709266
8.3091,1,0,0,0,0,0,0,0,-0.91080581,-1.574656419,-1.518453795,2.138905953,0.170662201,-2.866222368,-0.217210622,0.09281933,-0.23242157,-0.237230011,0.443111904,-0.710232088,1.344547329
8.1042,1,0,0,0,0,0,0,0,-1.001890106,-1.446861109,-1.414086146,2.373529708,-0.539021053,-2.893215781,-0.217210622,0.094300682,-0.270123445,-0.397275802,0.799918054,-0.75298756,1.345357015
6.9929,1,0,0,0,0,0,0,0,-1.496220764,-1.48914586,-0.814657905,2.233677346,0.738408265,-2.934605681,-0.217210622,0.09281933,-0.393100539,-0.603283461,1.057399152,-0.990126153,1.343737643
