DepRate,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH,WCBootLev,ECPdP,ECPLev,ReactorIP,ReactordP,ReactorCauLev,ClaydP,ClayOP
8.0417,5.6354,29.7332,43.9583,59.0153,12.10000038,37.59426459,13.9980261,80.0051721,945.8204084,232.1182926,52.087256,37.44743467,749.8597615
8.0663,5.6526,33.4678,40.6123,59.8691,11.39999962,52.90183297,14.00066336,80.00542457,864.0029445,152.9568531,52.87472823,35.2616853,750.0047741
9.2385,6.474,34.8754,39.1271,60.9254,11.39999962,53.93641095,14.11397009,79.85833777,782.9044442,64.62352893,60.53645214,40.4994063,749.4388116
10.4893,7.3505,35.2673,33.9282,61.896,11.80000019,66.99356079,14.30411816,79.89407349,774.0348511,47.928936,63.73802948,47.19403458,747.3344727
11.5813,8.1158,35.0403,28.3198,54.6868,12,70.01161194,14.28015327,80.3143158,783.1291504,48.7628212,65.02368927,53.8232193,745.9638672
12.6736,8.8813,34.8133,22.7114,47.4777,12,73.02966309,14.25618744,80.73455811,792.2233887,49.59670639,66.30935669,60.45240021,744.5931396
13.4239,9.407,34.6571,17.225,49.7087,12.10000038,57.70786387,14.12272963,80.53852815,832.4433553,81.9178211,61.8098379,64.38332437,746.6907206
13.2645,9.2953,33.944,45.7389,58.6212,12.10000038,46.11602899,13.99698465,79.99065025,811.0422352,61.45300411,69.99100068,60.66046701,750.0234154
12.1517,8.5155,31.56,35.2893,58.0097,12.10000038,45.89126969,13.99421596,79.98261557,769.0786623,27.37238306,76.48768597,56.21793847,750.0159571
11.0688,7.7567,31.5932,28.4472,58.7221,12.10000038,46.8738563,14.00082306,80.01963718,756.1653913,22.24129913,79.52272605,51.43327993,749.9238611
11.035,7.733,31.6443,24.226,58.3141,12.10000038,47.70131632,14.00025487,79.98522384,760.0984134,24.75844171,72.95277587,52.81333575,749.9592626
10.8403,7.5965,32.085,26.9604,58.4711,12.10000038,44.68151071,13.99887789,80.00805753,762.7574855,28.36367615,72.9103567,52.20879904,749.9502715
10.859,7.6097,32.6115,42.7692,58.6347,12.10000038,49.13000373,13.99821519,79.9913206,754.227031,22.47470784,78.97676524,49.45312814,749.9221463
