DepRate,KerFeed,KerTemp,WaterLev,BrineLev,WaterpH,WCBootLev,ECPdP,ECPLev,ReactorIP,ReactordP,ReactorCauLev,ClaydP,ClayOP
13.6176,9.5427,29.9589,22.3937,58.2178,12.30000019,16.53,14.00,80.00,782.25,22.59,64.19,64.47,749.97
13.3713,9.3702,30.2904,23.5852,58.4594,12.30000019,15.90,14.00,80.00,778.26,21.13,65.17,62.15,749.95
13.7495,9.6352,30.5021,23.4437,58.7127,12.30000019,15.68,14.00,80.00,780.87,21.22,66.00,62.97,749.96
13.7862,9.6609,30.2929,27.736,58.7447,12.30000019,16.28,15.29,79.99,783.64,21.43,67.14,64.85,749.94
13.0859,9.1702,29.4846,22.3928,58.7406,12.30000019,15.63,17.00,80.02,843.97,88.34,61.71,60.85,746.28
11.0008,7.709,30.1526,21.5017,58.4512,12.30000019,15.01,18.28,79.99,794.33,60.06,62.51,50.52,749.46
8.3441,5.8473,30.3463,21.6148,58.8031,12.30000019,14.35,20.00,80.00,743.16,26.62,60.89,37.41,750.01
8.2301,5.7674,30.4235,27.007,59.9635,11.69999981,14.11,20.00,80.00,735.04,19.60,60.69,36.77,750.03
8.3091,5.8227,30.0182,25.3967,57.8647,11.80000019,14.29,20.00,80.00,733.06,17.17,60.56,37.30,750.02
8.1042,5.6792,30.4256,26.6295,59.8091,11.30000019,13.99,20.00,80.01,729.89,15.22,65.23,36.33,750.07
6.9929,4.9004,30.2908,33.71,58.6501,12.19999981,13.53,20.00,80.00,719.55,12.71,68.60,30.95,749.97
7.074,4.9573,30.9174,32.0082,58.1237,12.19999981,12.69,20.00,79.99,719.49,12.44,66.30,30.82,750.00
7.1524,5.0122,31.2761,28.5052,60.6485,12.19999981,10.88,20.00,79.99,717.45,12.03,64.39,29.31,749.99
7.3349,5.14,31.4391,27.7473,58.1814,12.19999981,11.00,20.00,80.00,718.64,12.25,64.82,29.93,750.02
7.4443,5.2167,30.9594,27.4444,60.6451,12.19999981,11.36,20.00,80.00,719.37,12.28,68.94,30.55,750.03
7.3917,5.1798,31.0228,26.9078,58.3061,12.19999981,11.91,20.00,80.02,718.94,11.88,73.44,30.54,750.04
7.3148,5.126,30.4925,27.1347,59.0477,12.19999981,12.77,20.00,80.00,719.45,11.75,76.31,31.34,750.00
7.465,5.2312,31.0161,25.6309,60.4559,12.19999981,12.02,20.00,79.99,720.27,11.74,78.23,31.82,749.99
8.6339,6.0504,30.5327,21.5105,59.6941,12.19999981,10.18,20.00,80.00,726.78,13.07,64.28,34.00,750.18
10.9418,7.6677,31.1197,27.6302,59.5298,12.19999981,32.80,20.00,79.99,746.77,16.30,36.39,44.15,750.03
11.0848,7.7678,31.2427,36.1412,59.4204,12.19999981,42.06,20.00,80.00,746.81,16.18,37.60,43.16,750.11
10.924,7.6552,31.5347,31.9399,59.5347,12.19999981,58.52,20.00,80.00,744.99,15.73,38.52,41.96,750.02
11.0442,7.7394,30.4527,30.9212,59.2995,12.19999981,48.19,20.00,80.01,748.28,16.24,40.06,43.75,750.04
10.8107,7.5758,30.5132,28.4911,59.354,12.19999981,49.45,20.00,80.01,747.33,15.93,41.19,43.45,749.92
10.0353,7.0324,28.1657,37.5535,58.4337,12.19999981,48.10,20.00,80.00,743.57,15.70,46.99,41.96,750.07
9.9616,6.9808,29.8135,35.7169,59.0072,11.60000038,50.39,20.00,79.99,742.04,15.65,47.74,40.47,749.91
9.8446,6.8988,30.6872,32.3334,59.4995,11.80000019,47.56,20.00,80.00,740.09,15.76,41.05,38.24,749.97
10.1744,7.1299,30.5584,31.1234,58.4605,11.69999981,49.69,20.00,80.00,744.56,16.23,44.82,40.18,750.11
10.8006,7.5687,31.3596,29.0785,58.3711,12.39999962,48.20,20.01,79.99,751.84,17.19,47.39,43.61,749.90
11.3273,7.9378,30.9815,25.6931,58.6732,12.10000038,50.90,20.01,80.00,755.93,17.41,52.35,45.00,750.00
9.4981,6.656,31.607,27.2382,58.8826,11.80000019,46.69,20.00,80.01,737.79,14.17,58.13,36.97,749.90
8.3124,5.8251,31.3392,37.6419,60.156,11.80000019,49.05,20.00,79.99,726.13,12.19,61.27,31.33,749.99
8.1521,5.7127,31.9635,36.6838,56.5799,11.60000038,31.02,20.00,80.01,726.83,12.04,63.65,32.19,749.93
7.6813,5.3828,32.3816,33.7664,60.7448,11.80000019,22.24,20.00,80.00,721.72,10.98,64.94,29.19,750.02
7.6362,5.3512,33.4596,30.9928,57.5767,11.80000019,42.33,20.00,80.00,720.20,10.86,61.44,27.59,750.02
7.9969,5.6039,31.8731,31.0229,61.186,11.80000019,27.18,20.00,80.00,723.92,12.22,51.62,28.60,750.00
8.4318,5.9087,31.6957,34.4152,56.7143,11.80000019,59.07,20.00,79.99,729.86,12.80,56.81,31.49,750.12
8.3265,5.835,32.1862,37.4,56.7439,11.69999981,53.48,20.00,80.00,729.23,12.59,61.73,31.17,749.95
7.4766,5.2394,34.1085,33.5365,57.5344,11.69999981,50.49,20.00,79.99,692.38,11.42,63.43,25.07,722.91
7.4456,5.2176,35.4256,29.9027,60.9449,11.69999981,49.39,19.99,80.01,638.92,11.15,67.80,29.70,664.78
7.3605,5.158,32.119,25.0218,60.9795,11.69999981,49.55,20.00,80.00,619.51,10.51,70.32,26.08,650.00
7.4952,5.2524,32.1684,24.6892,62.1204,11.80000019,50.45,20.00,80.01,621.57,10.67,72.15,27.19,650.01
7.8253,5.4837,32.8518,24.8595,61.5241,11.80000019,49.22,20.00,79.96,624.24,10.94,73.67,28.22,649.97
8.0695,5.6549,32.9993,31.0294,60.9065,11.69999981,49.80,20.00,80.00,627.36,11.24,75.10,29.52,650.01
7.7597,5.4377,33.2611,28.3202,62.7387,11.69999981,47.28,20.00,80.00,660.30,11.09,70.17,27.68,685.82
7.877,5.52,33.346,27.5053,60.1269,11.69999981,49.61,20.00,79.99,677.33,12.17,57.61,28.29,699.99
7.6567,5.3656,36.2891,29.5485,59.5906,11.69999981,48.31,20.01,79.99,635.05,12.23,60.80,21.61,667.09
7.8609,5.5087,33.1922,26.2556,60.398,11.80000019,48.57,20.00,79.99,625.55,12.05,63.02,26.06,649.91
7.9492,5.5706,33.4733,26.1412,60.9736,11.69999981,49.54,20.00,80.00,629.18,12.07,61.54,28.65,650.01
7.9562,5.5755,33.7762,38.4518,60.8473,11.69999981,49.40,20.00,79.98,630.55,11.86,66.57,29.49,649.98
8.9195,6.2505,33.6918,37.0398,59.3928,11.69999981,50.54,20.00,80.00,661.79,12.93,72.63,34.40,669.09
7.6766,5.3795,34.9838,36.2278,60.3906,11.89999962,45.83,20.01,80.01,710.17,11.28,76.04,30.81,730.11
11.6362,8.1543,32.4748,30.1369,60.862,12,48.31,20.00,80.77,745.65,16.16,78.42,41.58,730.11
11.8785,8.3241,32.4805,28.7986,60.1953,12,49.65,20.00,79.96,751.65,17.24,80.17,46.47,730.11
11.6876,8.1903,31.9056,25.4812,59.67,12,48.79,20.00,79.99,750.42,17.12,81.88,47.20,730.02
11.4159,7.9999,32.5715,29.8005,60.1689,11.89999962,48.52,20.01,79.95,746.37,17.81,63.78,44.09,730.08
13.295,9.3167,33.2245,35.5625,59.3849,12,49.06,20.00,79.99,770.98,21.25,49.15,53.72,730.03
13.3951,9.3868,33.6996,28.3047,58.9848,12.19999981,50.16,20.00,79.96,770.77,20.06,57.61,55.11,729.99
12.1197,8.4931,33.4899,28.7223,58.8148,12.19999981,50.56,20.00,80.00,757.90,19.50,51.96,50.39,729.78
10.1367,7.1034,34.0121,37.8906,58.7294,12.19999981,47.32,20.01,80.00,734.33,16.14,61.21,41.83,730.00
10.54,7.3861,34.6413,33.7884,58.362,12.19999981,49.45,20.00,79.95,738.97,15.96,68.94,43.98,730.04
10.7365,7.5238,35.1396,33.6263,58.3324,12,48.91,20.00,79.98,739.63,15.49,72.15,43.60,729.99
10.6534,7.4656,35.0975,36.7743,58.3737,12,49.58,20.00,79.98,738.83,15.19,74.06,42.87,730.01
10.8349,7.5928,34.8994,33.1106,58.1854,12,50.79,19.99,79.97,741.81,15.40,75.74,43.87,729.99
10.8392,7.5958,35.216,32.0056,58.7003,12.39999962,47.51,20.00,79.96,743.90,15.85,72.22,44.47,730.00
10.9094,7.645,34.3569,38.0185,57.0738,12.39999962,49.11,20.00,79.98,745.57,16.24,68.80,44.35,730.01
10.9646,7.6837,35.2729,35.2012,58.6256,12,49.37,20.00,79.96,748.15,16.89,65.79,45.02,730.01
10.4135,7.2975,35.4807,32.3119,57.787,12,49.76,20.00,79.97,747.69,18.20,63.90,45.76,729.98
9.7869,6.8583,34.4609,40.0005,57.9954,11.69999981,51.72,20.00,79.97,742.91,18.69,62.32,43.75,729.94
9.3687,6.5653,34.5403,40.04,57.7056,11.69999981,48.66,20.00,79.94,739.10,30.89,68.89,41.47,730.03
9.3166,6.5288,34.7154,40.1285,57.5697,11.60000038,46.88,19.99,79.95,737.38,29.42,74.21,40.69,730.00
8.58,6.0126,34.1517,37.2217,57.4482,11.69999981,49.60,20.00,79.96,726.38,26.91,73.61,36.27,729.96
9.0851,6.3665,34.1664,35.8227,58.1425,11.5,50.26,20.00,79.96,732.46,26.83,73.66,38.51,730.04
10.3891,7.2803,34.6702,31.8905,59.2268,11.69999981,48.23,20.00,79.96,741.43,27.09,73.47,39.19,730.03
11.185,7.8381,35.226,29.8336,59.0153,11.69999981,52.24,20.00,79.97,751.49,27.89,77.08,43.68,730.04
12.0954,8.476,35.9401,25.4548,59.6546,11.69999981,48.63,20.00,79.98,758.00,28.02,81.79,45.79,729.97
12.2799,8.6053,35.6904,23.7481,58.2794,11.80000019,48.37,20.00,79.96,759.87,28.19,76.97,47.69,730.01
12.4048,8.6929,35.1854,35.8864,58.7853,11.69999981,49.06,20.00,79.98,761.27,28.03,56.08,48.68,729.96
12.1038,8.4819,33.6839,31.9886,58.5518,11.80000019,50.70,20.00,79.98,758.20,27.50,58.45,48.05,730.01
12.0741,8.4612,33.4043,28.3277,58.0929,11.80000019,51.48,20.00,79.97,758.67,26.95,60.55,48.68,729.99
10.3645,7.2631,33.6752,33.5122,58.056,11.80000019,46.74,19.99,79.98,738.68,24.81,61.45,41.30,729.92
8.7024,6.0984,32.2411,35.1745,58.6248,11.69999981,48.92,20.00,79.93,724.91,25.20,49.59,36.08,730.00
9.2754,6.4999,32.8118,32.7484,58.874,11.69999981,49.78,20.00,79.94,728.70,24.09,59.77,36.48,730.02
7.1684,5.0234,32.8957,30.5584,60.361,11.69999981,49.68,20.00,79.93,706.85,21.60,56.80,27.59,729.91
7.2188,5.0587,33.014,30.6723,58.6822,12,50.65,20.00,79.96,712.66,27.36,53.79,30.02,729.98
7.6742,5.3778,34.2385,30.9424,58.5544,12,47.38,20.00,79.93,717.85,27.61,60.88,31.91,730.18
8.3744,5.8685,34.5598,34.7624,57.3096,12,49.45,20.00,79.96,725.92,28.24,67.08,35.07,730.01
8.436,5.9116,35.0072,38.4953,59.4403,12,48.60,20.00,79.97,726.20,27.89,70.31,34.75,729.94
8.4405,5.9148,34.9779,37.1548,55.77,12,49.15,20.00,79.94,725.25,27.42,72.45,33.55,729.96
8.5462,5.9889,34.93,36.8679,58.63,12,48.60,20.00,79.97,725.70,27.32,74.09,32.88,729.98
8.3104,5.8237,35.0354,38.244,55.4935,11.60000038,48.43,19.66,79.88,711.78,27.88,75.97,35.26,712.92
8.0062,5.6105,34.5568,39.9838,57.7686,11.69999981,47.85,20.00,79.94,712.42,27.87,73.41,34.76,716.19
8.0066,5.6108,33.9478,39.6498,56.3427,11.69999981,47.26,20.00,79.92,715.23,27.92,66.92,33.33,720.00
8.1398,5.7041,34.5906,39.9216,52.5275,11.69999981,48.10,20.00,79.94,713.87,26.54,71.65,31.77,720.01
8.5191,5.9699,34.7225,39.862,53.6757,11.69999981,49.47,20.00,79.90,719.43,28.73,63.61,32.53,720.06
8.3176,5.8287,34.913,39.6298,50.3718,11.60000038,47.66,20.00,79.92,723.20,30.02,56.02,35.46,720.04
8.1192,5.6896,34.6284,39.6301,44.6787,11.60000038,48.42,20.00,79.91,721.28,30.07,54.05,33.98,720.05
8.1626,5.7201,34.7445,39.1081,57.8476,11.60000038,48.40,20.00,79.87,718.50,28.27,64.86,32.42,719.94
8.2269,5.7652,34.6675,39.3715,45.474,11.60000038,49.73,20.00,79.88,718.70,27.43,75.15,32.48,720.03
8.349,5.8507,34.6804,39.5653,47.2406,11.60000038,50.06,20.00,79.86,719.97,27.26,78.93,32.83,719.98
8.2632,5.7906,34.4124,39.7662,66.4644,11.60000038,48.71,20.00,79.90,720.87,27.42,81.81,34.08,719.96
8.4095,5.8931,34.8006,39.7499,76.3536,11.39999962,49.29,20.00,79.89,723.24,27.34,83.39,35.10,720.04
8.6184,6.0395,35.4172,39.2858,70.7776,11.39999962,49.74,20.00,77.96,725.58,28.27,71.71,35.99,719.98
8.4137,5.8961,36.8913,39.5422,34.6077,11.39999962,48.30,20.00,74.89,721.94,28.53,58.86,34.46,719.76
7.6102,5.333,35.7825,39.5084,21.7093,11.39999962,48.95,20.00,74.88,712.86,27.70,60.12,31.57,719.96
7.6816,5.383,36.3775,39.2594,22.1892,11.39999962,49.53,20.00,74.88,713.15,27.63,60.92,31.14,720.02
7.9669,5.583,37.58,39.1355,18.4325,11.89999962,48.65,20.00,74.88,716.27,27.79,61.75,31.75,720.04
8.43,5.9075,38.4541,39.6771,17.5931,11.60000038,49.36,20.00,74.88,720.35,28.09,62.43,32.39,720.00
12.264,8.5942,37.626,36.1632,44.9608,11.5,50.43,20.01,74.85,766.92,31.53,63.18,49.48,720.17
13.3822,9.3778,37.9805,39.7383,58.5438,11.60000038,45.99,20.00,74.94,774.49,32.37,64.62,57.79,719.93
13.2673,9.2973,37.9249,39.7032,59.0785,11.39999962,48.97,20.00,77.47,771.03,32.18,59.42,56.23,719.99
12.3913,8.6834,37.0992,39.8757,59.0308,11.5,48.44,20.00,79.91,757.64,30.63,55.51,52.30,719.92
12.4398,8.7174,36.1642,39.8697,58.1514,11.5,47.40,20.00,79.92,760.38,30.22,58.53,54.18,720.05
13.1342,9.204,38.0615,39.7255,59.5483,11.5,33.98,20.00,79.69,767.36,31.24,54.39,55.22,719.99
13.1732,9.2314,36.7085,39.5111,57.8759,11.5,37.03,20.00,79.92,766.47,30.52,58.40,54.17,720.01
13.5285,9.4804,37.3494,39.8866,55.8662,11.39999962,34.88,20.00,79.93,775.28,32.17,55.58,56.69,719.98
3.0833,2.1607,36.1164,41.5072,60.2025,11.39999962,21.03,10.30,79.81,624.22,19.28,64.83,15.06,673.27
0,0,35.3233,40.9546,61.6857,11.39999962,15.90,2.78,79.77,491.74,13.79,52.26,1.89,493.14
0,0,34.9165,40.4367,60.9367,11.39999962,17.20,0.00,79.48,412.26,23.16,0.35,0.09,144.38
0,0,33.709,40.8999,61.5613,11.39999962,17.22,0.00,79.54,717.65,41.74,2.21,1.34,60.50
0,0,33.7168,41.2244,68.4935,11.39999962,16.77,0.00,78.90,834.80,49.44,4.87,1.76,95.14
0,0,32.3313,41.0134,54.1711,11.39999962,16.75,0.03,41.02,833.29,49.67,5.18,2.80,48.55
0,0,32.2391,41.4789,70.231,11.39999962,16.49,0.00,21.72,818.57,49.16,5.17,3.02,51.91
0,0,29.5283,41.8603,50.6615,11.39999962,18.43,0.00,21.70,808.89,48.91,5.98,6.11,19.54
0,0,30.3987,42.5416,63.3002,11.39999962,18.19,0.02,21.69,818.35,48.36,6.05,5.23,21.83
0,0,29.7233,42.6112,70.9827,11.39999962,18.45,0.00,21.69,875.92,43.95,6.79,3.38,19.70
0,0,28.3718,42.989,48.1876,11.39999962,19.17,0.00,21.70,929.69,38.60,9.92,3.30,12.50
0,0,29.6897,45.5578,53.4342,11.39999962,18.54,0.00,21.70,749.99,55.50,14.85,1.72,386.11
0,0,30.6486,44.6019,57.454,11.39999962,17.84,0.00,21.67,610.92,67.17,31.66,0.00,618.39
0,0,31.7781,41.7012,65.0424,11.39999962,16.99,0.00,21.64,642.01,64.68,32.13,0.00,656.54
0.0291,0.0204,31.7421,40.0779,71.2712,11.39999962,17.00,0.00,21.62,666.77,63.13,29.71,0.00,682.51
7.8828,5.524,35.346,34.9184,51.945,11.5,10.87,17.90,35.72,695.98,3.94,31.71,27.89,725.94
11.2696,7.8974,35.2818,39.9941,56.733,11.39999962,31.36,18.00,60.01,777.64,9.93,34.66,50.42,750.01
11.6167,8.1406,35.7356,40.1236,57.1004,11.30000019,61.69,18.00,77.89,786.91,11.94,33.04,53.15,750.01
11.3693,7.9672,35.6827,40.2578,57.1298,11.30000019,15.87,18.00,80.00,784.81,12.04,35.83,51.74,749.98
9.6361,6.7527,36.4628,40.2383,57.7485,11.19999981,16.24,19.18,80.00,758.62,10.10,36.64,40.82,749.93
8.9068,6.2416,36.8144,40.6015,57.1463,11.39999962,46.15,20.00,79.99,755.67,10.47,45.34,39.19,750.04
6.0503,4.2398,34.1389,44.1884,58.0203,11.39999962,40.49,16.67,79.64,614.71,11.73,69.30,23.05,639.89
8.4535,5.924,34.413,40.8808,57.1372,11.39999962,35.45,20.00,80.00,747.19,11.91,74.04,34.02,749.98
8.6324,6.0493,33.9257,40.463,57.0404,11.39999962,77.62,20.00,79.98,752.07,12.37,76.96,36.54,750.02
11.1019,7.7799,30.5325,40.0718,57.293,11.39999962,67.73,20.01,80.02,787.95,16.31,79.47,47.39,749.99
12.4644,8.7347,29.1757,40,57.2276,11.39999962,73.18,20.00,79.98,810.63,18.30,81.52,54.58,749.99
12.3718,8.6698,32.1284,40.0282,56.7276,11.39999962,66.95,20.00,80.00,808.58,17.98,82.37,52.69,749.98
11.981,8.3959,30.5802,39.89,46.8779,11.39999962,87.80,20.01,79.92,808.63,18.25,84.98,54.80,750.57
11.9925,8.4039,29.6791,40.0296,51.8709,11.39999962,74.98,20.04,79.93,809.89,18.47,87.93,55.10,749.90
11.8999,8.339,29.4352,40.0199,53.1455,11.39999962,74.74,20.00,80.02,812.20,18.80,91.10,56.27,750.01
11.7589,8.2403,31.4295,40.3369,53.0316,11.10000038,78.25,20.00,79.97,808.21,19.38,82.42,51.58,749.93
10.1312,7.0996,31.2383,40.0811,52.4928,10.60000038,64.28,20.01,80.02,782.19,15.74,54.75,45.35,749.94
